Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;;;;;;;;;;;;;;;;;;;;;;
5142306004-00;DADO ESAG. BASSO A2K M6-4;25;HEXAGONAL NUT LOW A2K M6-4;26;;;;;;;;;;;;;;;;;;;;;
5142308005-00;DADO ESAG. BASSO A2K M8-4;25;HEXAGONAL NUT LOW A2K M8-4;26;;;;;;;;;;;;;;;;;;;;;
5149001201-00;DADO ESAG. BASSO GR5 NERO 1/2x13-4;34;HEXAGONAL NUT LOW GR5 NERO 1/2x13-4;35;;;;;;;;;;;;;;;;;;;;;
5149100000-00;DADO ESAG. BASSO GR5 NERO 1/4-4;31;HEXAGONAL NUT LOW GR5 NERO 1/4-4;32;;;;;;;;;;;;;;;;;;;;;
5148122007-00;DADO ESAG. BASSO GR5 NERO 1/8-4;31;HEXAGONAL NUT LOW GR5 NERO 1/8-4;32;;;;;;;;;;;;;;;;;;;;;
5141410008-00;DADO ESAG. MEDIO A2 M10-70;26;HEXAGONAL NUT MEDIUM A2 M10-70;30;;;;;;;;;;;;;;;;;;;;;
5141412010-00;DADO ESAG. MEDIO A2 M12-70;26;HEXAGONAL NUT MEDIUM A2 M12-70;30;;;;;;;;;;;;;;;;;;;;;
5141414010-00;DADO ESAG. MEDIO A2 M14-70;26;HEXAGONAL NUT MEDIUM A2 M14-70;30;;;;;;;;;;;;;;;;;;;;;
5141416013-00;DADO ESAG. MEDIO A2 M16-70;26;HEXAGONAL NUT MEDIUM A2 M16-70;30;;;;;;;;;;;;;;;;;;;;;
5142424010-00;DADO ESAG. MEDIO A2 M24-70;26;HEXAGONAL NUT MEDIUM A2 M24-70;30;;;;;;;;;;;;;;;;;;;;;
5141403002-00;DADO ESAG. MEDIO A2 M3-70;25;HEXAGONAL NUT MEDIUM A2 M3-70;29;;;;;;;;;;;;;;;;;;;;;
5141404003-00;DADO ESAG. MEDIO A2 M4-70;25;HEXAGONAL NUT MEDIUM A2 M4-70;29;;;;;;;;;;;;;;;;;;;;;
5141405004-00;DADO ESAG. MEDIO A2 M5-70;25;HEXAGONAL NUT MEDIUM A2 M5-70;29;;;;;;;;;;;;;;;;;;;;;
