Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;
5000061916-00;CUSCINETTO RADIALE SFERA 61916-2RS1;35;DEEP GROOVE B-BEARING 61916-2RS1;32
5000061928-00;CUSCINETTO RADIALE SFERA 61928 MA;33;DEEP GROOVE B-BEARING 61928 MA;30
5000071914-00;CUSCINETTO OBLIQ. SFERA 71914 ACD/P4ADBA;40;ANG. CONT. B-BEARING 71914 ACD/P4ADBA;37
5000072130-00;CUSCINETTO OBLIQUO SFERA 7213 ACDGA/P4A;39;ANG. CONT. B-BEARING 7213 ACDGA/P4A;35
5000161905-00;CUSCINETTO RADIALE SFERA 61905;30;DEEP GROOVE B-BEARING 61905;27
5000171914-00;CUSCINETTO OBLIQ. SFERA S71914 ACDGA/P4A;40;ANG. CONT. B-BEARING S71914 ACDGA/P4A;37
5000234410-00;CUSCINETTO ASSIALE OBL. 234410 BM1/SP;37;ANG.CONT.THR. B-BEARING 234410 BM1/SP;37
5001051103-00;SOSTIT. DA 5000051103-00;24;REPLACED 5000051103-00;22
5001061800-00;CUSCINETTO RADIALE SFERA 61800-2RS1;35;DEEP GROOVE B-BEARING 61800-2RS1;32
5001061830-00;CUSCINETTO RADIALE SFERA 61830;30;DEEP GROOVE B-BEARING 61830;27
5001061852-00;CUSCINETTO RADIALE SFERA 61852 MA;33;DEEP GROOVE B-BEARING 61852 MA;30
5001061908-00;CUSCINETTO RADIALE SFERA 61908-2RS1;35;DEEP GROOVE B-BEARING 61908-2RS1;32
5001062210-00;CUSCINETTO RADIALE SFERA 62210-2RS1;35;DEEP GROOVE B-BEARING 62210-2RS1;32
5002000003-00;GHIERA DI BLOCCAGGIO KMT 3 M17x1;32;PRECISION LOCKNUT KMT 3 M17x1;29
5002000004-00;GHIERA DI BLOCCAGGIO KMT 4 M20x1;32;PRECISION LOCKNUT KMT 4 M20x1;29
5002000005-00;GHIERA DI BLOCCAGGIO KMT 5 M25x1,5;34;PRECISION LOCKNUT KMT 5 M25x1,5;31
5002000006-00;GHIERA DI BLOCCAGGIO KMT 6 30x1,5;33;PRECISION LOCKNUT KMT 6 30x1,5;30
5002000007-00;GHIERA DI BLOCCAGGIO KMT 7 M35x1,5;34;PRECISION LOCKNUT KMT 7 M35x1,5;31
